epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9252,2.10645,2.76617,2.17609,0.00172,0.32353,0.00125,0.00032,3.3373,211.86,3.89171,0.000658333,0.000658333,0.000658333
2,154.896,2.13451,2.48441,2.18117,0.06785,0.13866,0.02264,0.00549,3.27755,3.99804,3.96415,0.00131188,0.00131188,0.00131188
3,260.336,2.08806,2.31235,2.16718,0.03485,0.02521,0.00944,0.00363,3.04874,6.60421,5.17182,0.00195223,0.00195223,0.00195223
4,351.909,2.14526,2.34065,2.17412,0.31664,0.38655,0.27815,0.08326,2.42978,2.82003,2.69085,0.0019406,0.0019406,0.0019406
5,503.696,2.14288,2.34237,2.19241,0.10431,0.21429,0.07008,0.02131,2.37044,3.01996,2.58686,0.0019208,0.0019208,0.0019208
6,610.087,2.05804,2.23097,2.11504,0.25897,0.17647,0.13217,0.03799,2.42172,2.8107,2.57552,0.001901,0.001901,0.001901
7,716.081,1.97038,2.1455,2.05413,0.44742,0.47059,0.43429,0.15971,2.08004,2.21944,2.36897,0.0018812,0.0018812,0.0018812
8,855.278,1.98925,2.1494,2.05304,0.43551,0.52941,0.44289,0.15002,1.95868,2.14525,2.29837,0.0018614,0.0018614,0.0018614
9,981.394,1.89827,2.06084,1.99395,0.45099,0.44538,0.3797,0.128,2.08202,2.72311,2.48322,0.0018416,0.0018416,0.0018416
10,1029.99,1.86103,2.00566,1.97523,0.47383,0.40756,0.39818,0.13626,1.96632,2.43709,2.39745,0.0018218,0.0018218,0.0018218
11,1076.28,1.9023,2.0173,1.96216,0.41393,0.5084,0.39102,0.14073,2.07597,2.15269,2.40128,0.001802,0.001802,0.001802
12,1121.21,1.88647,1.9302,1.96035,0.54744,0.52941,0.52748,0.20305,1.95215,1.89325,2.27994,0.0017822,0.0017822,0.0017822
13,1207.39,1.91865,1.94278,2.00397,0.44083,0.47059,0.39843,0.12624,2.33648,2.01404,2.56405,0.0017624,0.0017624,0.0017624
14,1294.83,1.89027,1.94508,1.99418,0.64834,0.5,0.57924,0.22235,1.98585,1.90689,2.28195,0.0017426,0.0017426,0.0017426
15,1343.51,1.87464,1.93771,1.96562,0.3695,0.28571,0.28744,0.09269,2.30184,2.52749,2.46306,0.0017228,0.0017228,0.0017228
16,1387.79,1.80119,1.94223,1.93447,0.53075,0.5,0.51512,0.20386,1.93027,1.98427,2.24071,0.001703,0.001703,0.001703
17,1525.33,1.864,1.86569,1.96659,0.55388,0.50079,0.53838,0.22223,1.88956,1.94275,2.22908,0.0016832,0.0016832,0.0016832
18,1654.32,1.79976,1.85666,1.90744,0.52101,0.47479,0.46081,0.17076,2.08243,1.97147,2.32599,0.0016634,0.0016634,0.0016634
19,1783.65,1.79285,1.80642,1.92278,0.63369,0.56303,0.56041,0.18337,2.13455,1.77656,2.39301,0.0016436,0.0016436,0.0016436
20,1868.01,1.78108,1.73823,1.87853,0.69313,0.54202,0.5849,0.22905,1.91398,1.79938,2.20555,0.0016238,0.0016238,0.0016238
21,1968.86,1.82877,1.81493,1.95246,0.76409,0.61241,0.64806,0.27785,1.81814,1.6661,2.16202,0.001604,0.001604,0.001604
22,2050.17,1.77023,1.80384,1.89356,0.62117,0.52101,0.53308,0.20287,1.95103,1.94279,2.28874,0.0015842,0.0015842,0.0015842
23,2092.93,1.73218,1.75278,1.85096,0.72234,0.46639,0.56139,0.23859,1.90445,1.82729,2.19098,0.0015644,0.0015644,0.0015644
24,2140.5,1.77546,1.75033,1.85856,0.71437,0.55697,0.62666,0.24113,1.90346,1.83261,2.17257,0.0015446,0.0015446,0.0015446
25,2241,1.74661,1.80881,1.94206,0.70509,0.58403,0.63898,0.25642,1.9073,1.76321,2.23039,0.0015248,0.0015248,0.0015248
26,2334.5,1.74639,1.73593,1.8606,0.75251,0.58403,0.6443,0.28633,1.82176,1.74538,2.15073,0.001505,0.001505,0.001505
27,2536.46,1.77116,1.75027,1.88732,0.59964,0.5475,0.56981,0.21526,1.91455,1.81116,2.24506,0.0014852,0.0014852,0.0014852
28,2699.17,1.72947,1.7046,1.87266,0.79331,0.53782,0.67703,0.28391,1.89439,1.60437,2.23438,0.0014654,0.0014654,0.0014654
29,2754.24,1.70633,1.65575,1.83782,0.63428,0.61765,0.61054,0.25693,1.85255,1.68021,2.19776,0.0014456,0.0014456,0.0014456
30,2808.3,1.73391,1.69844,1.84154,0.69998,0.55042,0.61892,0.26971,1.90539,1.72446,2.16133,0.0014258,0.0014258,0.0014258
31,2861.49,1.71863,1.66868,1.8507,0.68851,0.59244,0.64608,0.26412,1.92267,1.6742,2.29677,0.001406,0.001406,0.001406
32,2961.62,1.69329,1.63501,1.8062,0.7772,0.60094,0.69499,0.30613,1.82486,1.59097,2.12301,0.0013862,0.0013862,0.0013862
33,3087.85,1.68991,1.62827,1.82661,0.70428,0.59039,0.63658,0.28142,1.84979,1.61642,2.15373,0.0013664,0.0013664,0.0013664
34,3179.44,1.66789,1.58522,1.79235,0.70861,0.62185,0.67963,0.27901,1.91894,1.61515,2.27071,0.0013466,0.0013466,0.0013466
